,State,Year,Quarter,District,Transaction_Count,Transaction_Amount
468,assam,2018,1,dibrugarh district,44792,53258765.86975427
469,assam,2018,1,south salmara mancachar district,8415,9404471.999163514
470,assam,2018,1,nagaon district,66695,56352631.291476294
471,assam,2018,1,dhubri district,26072,24431277.76189988
472,assam,2018,1,golaghat district,22089,19058581.948010616
473,assam,2018,1,udalguri district,18168,14465756.75866175
474,assam,2018,1,majuli district,2598,1326721.023225203
475,assam,2018,1,sonitpur district,51976,73005566.24909952
476,assam,2018,1,hojai district,16917,15849610.99109809
477,assam,2018,1,marigaon district,79832,105067294.49868405
478,assam,2018,1,chirang district,8445,11665546.586547565
479,assam,2018,1,cachar district,56481,57250290.53047233
480,assam,2018,1,nalbari district,16878,12393870.992541898
481,assam,2018,1,west karbi anglong district,1445,570966.7219731117
482,assam,2018,1,dhemaji district,16037,17004986.97044885
483,assam,2018,1,karimganj district,17261,17842353.51962607
484,assam,2018,1,bongaigaon district,18899,21510944.891263362
485,assam,2018,1,dima hasao district,4233,4781136.056644153
486,assam,2018,1,baksa district,20964,22457849.86668141
487,assam,2018,1,charaideo district,13094,10873516.975702649
488,assam,2018,1,darrang district,28031,21593879.067580055
489,assam,2018,1,kamrup metropolitan district,194617,284766218.98487484
490,assam,2018,1,hailakandi district,15865,11065155.715426873
491,assam,2018,1,barpeta district,67801,56352302.37753609
492,assam,2018,1,goalpara district,27132,25331840.51625772
493,assam,2018,1,biswanath district,16453,12983623.197160937
494,assam,2018,1,jorhat district,33322,41164542.05596451
495,assam,2018,2,tinsukia district,66715,102921465.63822293
496,assam,2018,2,lakhimpur district,39374,43214923.214693636
