,State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount
344,kerala,2020,1,Others,68417,44149097.18179157
345,kerala,2020,2,Recharge & bill payments,7709714,2452435028.9249372
346,kerala,2020,2,Peer-to-peer payments,5603046,21309983654.739
347,kerala,2020,2,Merchant payments,2888260,2075701451.3627596
348,kerala,2020,2,Financial Services,40501,32921115.845954426
349,kerala,2020,2,Others,46446,23037227.727544237
350,kerala,2020,4,Peer-to-peer payments,12941135,45686395927.74489
351,kerala,2020,4,Merchant payments,10990709,7695667406.723909
352,kerala,2020,4,Recharge & bill payments,9167428,3238199947.525463
353,kerala,2020,4,Financial Services,73833,69202344.44095232
354,kerala,2020,4,Others,115082,65791020.57617174
355,kerala,2020,3,Peer-to-peer payments,8590587,33346812213.798676
356,kerala,2020,3,Recharge & bill payments,7932950,2688361345.204546
357,kerala,2020,3,Merchant payments,5065205,4016995193.6035366
358,kerala,2020,3,Financial Services,94130,76828720.82445312
359,kerala,2020,3,Others,75808,35153178.52298187
360,kerala,2019,1,Peer-to-peer payments,3601116,9314451112.085835
361,kerala,2019,1,Recharge & bill payments,2180915,498453895.947243
362,kerala,2019,1,Merchant payments,550707,371997848.20066386
363,kerala,2019,1,Financial Services,77652,7808573.898364296
364,kerala,2019,1,Others,58649,42319704.717572376
365,kerala,2019,2,Peer-to-peer payments,3519528,11630623424.131498
366,kerala,2019,2,Recharge & bill payments,2711299,768892057.7982787
367,kerala,2019,2,Merchant payments,937130,569545842.9998999
368,kerala,2019,2,Financial Services,38869,5823291.622642939
369,kerala,2019,2,Others,77000,56486944.633225575
370,kerala,2019,4,Peer-to-peer payments,5859068,18537483865.44591
371,kerala,2019,4,Recharge & bill payments,4097032,1287955351.6647906
372,kerala,2019,4,Merchant payments,2418428,1268704040.100692
373,kerala,2019,4,Financial Services,50728,10816332.760911917
374,kerala,2019,4,Others,73381,46367047.83244334
375,kerala,2019,3,Peer-to-peer payments,4181954,14433990011.32079
376,kerala,2019,3,Recharge & bill payments,3431236,1051007778.3129579
377,kerala,2019,3,Merchant payments,1497029,879510566.1106174
378,kerala,2019,3,Financial Services,96130,8910528.723410578
379,kerala,2019,3,Others,79747,56390837.59670959
380,kerala,2021,1,Peer-to-peer payments,16209203,55336812492.74641
381,kerala,2021,1,Merchant payments,16105923,10058436408.184261
382,kerala,2021,1,Recharge & bill payments,9837385,3732534739.0436296
383,kerala,2021,1,Financial Services,68012,69655547.76092248
