,State,Year,Quarter,District_Pincode,Transaction_count,Transaction_amount
445,ladakh,2023,1,194404,83097,303372077.0
446,ladakh,2023,1,194103,82070,139984081.0
447,ladakh,2023,1,194102,62904,141398012.0
448,ladakh,2023,1,194105,56306,115031490.0
449,ladakh,2023,1,194703,48774,127133921.0
450,ladakh,2023,2,194101,736089,1826645330.0
451,ladakh,2023,2,194104,613774,1340107503.0
452,ladakh,2023,2,194201,383971,1032046191.0
453,ladakh,2023,2,194401,201619,603212044.0
454,ladakh,2023,2,194103,193547,346481090.0
455,ladakh,2023,2,194102,145545,312416773.0
456,ladakh,2023,2,194107,141166,375256014.0
457,ladakh,2023,2,194105,119778,227000740.0
458,ladakh,2023,2,194404,117973,462087088.0
459,ladakh,2023,2,194703,78588,177729453.0
460,ladakh,2020,1,194104,30289,94929393.76009162
461,ladakh,2020,1,194101,22693,75287768.73591267
462,ladakh,2020,1,194201,13298,46293557.9571719
463,ladakh,2020,1,194107,10562,35975794.00399302
464,ladakh,2020,1,194103,6375,18421217.781011183
465,ladakh,2020,1,194401,6291,23314389.37033766
466,ladakh,2020,1,194106,5017,17311696.59900993
467,ladakh,2020,1,194703,4869,15014498.55526915
468,ladakh,2020,1,194102,4520,13380518.82518247
469,ladakh,2020,1,194105,4084,12257718.474653965
470,ladakh,2020,2,194104,38688,129402815.08383374
471,ladakh,2020,2,194101,27753,94716572.92702219
472,ladakh,2020,2,194201,17285,55812009.496215954
473,ladakh,2020,2,194107,13133,43976698.09230614
474,ladakh,2020,2,194103,9288,32883827.747635525
475,ladakh,2020,2,194401,8670,33734198.393975794
476,ladakh,2020,2,194102,8264,30947937.286563996
477,ladakh,2020,2,194105,7237,21165123.923762888
478,ladakh,2020,2,194703,7031,23692276.11660263
479,ladakh,2020,2,194106,5244,17771134.590414867
480,ladakh,2020,4,194104,79598,265446627.74241495
481,ladakh,2020,4,194101,53569,186455975.80271304
482,ladakh,2020,4,194201,40398,145874101.04263115
483,ladakh,2020,4,194107,28650,101994102.20863494
484,ladakh,2020,4,194103,19884,63335720.984377906
485,ladakh,2020,4,194401,19253,76107254.40349069
486,ladakh,2020,4,194102,17941,61946061.18721973
487,ladakh,2020,4,194106,13802,37001878.32567723
488,ladakh,2020,4,,13717,36711603.92132313
489,ladakh,2020,4,194703,12137,41598849.489292465
490,ladakh,2020,3,194104,53009,195759175.21942508
491,ladakh,2020,3,194101,36318,125762209.10383196
492,ladakh,2020,3,194201,33208,131788417.2799292
493,ladakh,2020,3,194107,21812,80911251.92241782
494,ladakh,2020,3,194102,13177,50193271.97390421
495,ladakh,2020,3,194103,13164,48682989.29905912
496,ladakh,2020,3,194401,11567,51535510.95584342
497,ladakh,2020,3,194105,9087,31090704.288437817
498,ladakh,2020,3,194106,8926,29595203.92357209
499,ladakh,2020,3,194703,8098,28106789.559085622
500,ladakh,2019,1,194104,12861,37420302.93301695
501,ladakh,2019,1,194101,8237,27117055.584492594
502,ladakh,2019,1,194107,6588,22466686.401635446
503,ladakh,2019,1,194201,5019,17060651.132651757
504,ladakh,2019,1,194105,2632,7337898.631565983
